Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 1. 10,B0110 AF,A,7.4,6.76,1,0.23,0.2,18.6,0,0,Pass,Flushed,0.00%,894,38,798,96,32,2,0,0.043,1.826993,0.748644,932,402,196,108,66,26,28,16,16,12,24,6,6,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,43%,21%,12%,7%,3%,3%,2%,2%,1%,3%,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 10,B0110 A,A,9,6.63,1,0.08,0.1,18.1,0,0,Pass,Stagnant,0.00%,746,46,666,80,46,0,0,0.062,1.874267,0.768328,792,326,156,90,62,32,28,14,14,8,16,24,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41%,20%,11%,8%,4%,4%,2%,2%,1%,2%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 14,A0110 AF,A,23.5,7.12,1,0.23,0.2,12.8,0,0,Pass,Flush+In,0.00%,336,40,252,84,32,4,0,0.119,2.153341,0.804255,376,148,54,34,6,10,16,20,26,14,8,8,12,4,4,4,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,39%,14%,9%,2%,3%,4%,5%,7%,4%,2%,2%,3%,1%,1%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%
2022. 1. 14,A0110 A,A,25.2,7.33,1,0.08,0.1,10.6,0,0,Pass,Stag+In,0.00%,758,170,428,330,162,8,0,0.224,2.61823,0.919298,928,144,84,54,80,66,66,74,68,86,36,46,36,34,28,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16%,9%,6%,9%,7%,7%,8%,7%,9%,4%,5%,4%,4%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 10,B0110 B,B,18.6,6.94,1,0.01,0,63.2,9934,1,Fail,Stagnant,35.27%,14102,14060,4908,9194,12002,1914,138,0.997,2.786481,0.930082,28162,2008,856,642,698,704,1014,1874,2114,2156,2036,2140,2530,3280,2398,1654,990,474,232,124,94,70,50,16,2,0,0,0,2,4,0,7%,3%,2%,2%,2%,4%,7%,8%,8%,7%,8%,9%,12%,9%,6%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 14,B0114 BF,B,8.7,6.62,1,0.14,0.1,12,0,0,Pass,Flushed,0.00%,840,78,488,352,70,2,2,0.093,2.50252,0.909169,918,136,98,96,92,66,74,74,92,62,50,28,20,16,4,2,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,15%,11%,10%,10%,7%,8%,8%,10%,7%,5%,3%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 14,B0114 C,C,14.4,6.89,1,0.01,0,9.6,0,0,Pass,Stagnant,0.00%,1196,116,688,508,94,20,2,0.097,2.534593,0.910011,1312,178,106,120,116,168,136,118,102,72,80,42,20,10,16,6,10,2,2,2,4,0,0,0,2,0,0,0,0,0,0,14%,8%,9%,9%,13%,10%,9%,8%,5%,6%,3%,2%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 14,B0114 CF,C,8.8,6.83,1,0.24,0.2,6.1,0,0,Pass,Flushed,0.00%,186,2,160,26,0,0,0,0.011,1.656637,0.70611,188,94,32,18,12,4,4,10,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50%,17%,10%,6%,2%,2%,5%,3%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
2022. 1. 17,A0114 B,B,27.2,7.67,1,0.01,0,63.3,2250,1,Fail,Stag+In,9.23%,2782,21596,754,2028,13222,7042,1130,7.763,2.676595,0.907436,24378,314,124,146,100,70,120,194,286,456,972,1428,1830,2704,3296,3964,3136,1388,1052,858,608,442,278,190,136,84,54,40,46,62,0,1%,1%,1%,0%,0%,0%,1%,1%,2%,4%,6%,8%,11%,14%,16%,13%,6%,4%,4%,2%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%
2022. 1. 17,A0114 BF,B,27.5,7.71,1,0.14,0.1,7.5,0,0,Pass,Flush+In,0.00%,300,60,230,70,28,24,4,0.2,2.562595,0.89545,360,76,46,50,36,22,30,12,14,6,8,4,4,6,8,6,10,6,4,2,2,4,0,0,0,0,0,0,0,4,0,21%,13%,14%,10%,6%,8%,3%,4%,2%,2%,1%,1%,2%,2%,2%,3%,2%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%
