Exp Date,location,Type,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Culturability,LNA,HNA,ratio,ICC
2022. 1. 10,A,Flushed,7.4,6.76,1,0.23,0.2,18.6,0,0,Pass,0.00%,894,38,0.043,932
2022. 1. 10,A,Stagnant,9,6.63,1,0.08,0.1,18.1,0,0,Pass,0.00%,746,46,0.062,792
2022. 1. 14,A,Flush+In,23.5,7.12,1,0.23,0.2,12.8,0,0,Pass,0.00%,336,40,0.119,376
2022. 1. 14,A,Stag+In,25.2,7.33,1,0.08,0.1,10.6,0,0,Pass,0.00%,758,170,0.224,928
2022. 1. 10,B,Stagnant,18.6,6.94,1,0.01,0,63.2,9934,1,Fail,35.27%,14102,14060,0.997,28162
2022. 1. 14,B,Flushed,8.7,6.62,1,0.14,0.1,12,0,0,Pass,0.00%,840,78,0.093,918
2022. 1. 14,C,Stagnant,14.4,6.89,1,0.01,0,9.6,0,0,Pass,0.00%,1196,116,0.097,1312
2022. 1. 14,C,Flushed,8.8,6.83,1,0.24,0.2,6.1,0,0,Pass,0.00%,186,2,0.011,188
2022. 1. 17,B,Stag+In,27.2,7.67,1,0.01,0,63.3,2250,1,Fail,9.23%,2782,21596,7.763,24378
2022. 1. 17,B,Flush+In,27.5,7.71,1,0.14,0.1,7.5,0,0,Pass,0.00%,300,60,0.2,360
2022. 1. 17,C,Stag+In,27.6,7.77,1,0.01,0,93.5,350,1,Fail,1.09%,19376,12608,0.651,31984
2022. 1. 17,C,Flush+In,27.4,7.76,1,0.24,0.2,6.5,0,0,Pass,0.00%,904,236,0.261,1140
2022. 1. 17,A,Stagnant,7.4,6.86,1,0.14,0.1,10.1,0,0,Pass,0.00%,140,8,0.057,148
2022. 1. 17,A,Flushed,6.5,6.85,1,0.15,0.2,8.7,0,0,Pass,0.00%,290,132,0.455,422
2022. 1. 17,B,Stagnant,14.7,6.74,1,0.01,0,49.7,1105,1,Fail,8.13%,5468,8124,1.486,13592
